Type	att_length
Bacteria	29
Bacteria	73
Archaea	65
Archaea	50
Bacteria	13
Bacteria	23
Bacteria	18
Bacteria	28
Bacteria	13
Bacteria	16
Bacteria	6
Bacteria	25
Bacteria	5
Bacteria	6
Bacteria	25
Bacteria	7
Bacteria	49
Bacteria	19
Bacteria	24
Bacteria	49
Bacteria	47
Bacteria	16
Bacteria	15
Bacteria	27
Bacteria	46
Bacteria	83
Bacteria	16
Bacteria	15
Bacteria	36
Bacteria	20
Bacteria	57
Bacteria	47
Bacteria	18
Bacteria	46
Bacteria	7
Bacteria	46
Bacteria	46
Bacteria	15
Bacteria	14
Bacteria	16
Bacteria	17
Bacteria	12
Bacteria	48
Bacteria	26
Bacteria	84
Bacteria	26
Bacteria	91
Bacteria	45
Bacteria	20
Bacteria	28
Bacteria	19
Bacteria	13
Bacteria	56
Bacteria	19
Bacteria	30
Bacteria	19
Bacteria	24
Bacteria	14
Bacteria	24
Bacteria	46
Bacteria	42
Bacteria	56
Bacteria	27
Bacteria	20
Bacteria	17
Bacteria	56
Bacteria	25
Bacteria	46
Bacteria	24
Bacteria	15
Bacteria	215
Bacteria	24
Bacteria	5
Bacteria	17
Bacteria	47
Bacteria	28
Bacteria	28
Bacteria	17
Bacteria	17
Bacteria	17
Bacteria	23
Bacteria	47
Bacteria	47
Bacteria	217
Bacteria	218
Bacteria	47
Bacteria	47
Bacteria	17
Bacteria	35
Bacteria	47
Bacteria	35
Bacteria	23
Bacteria	22
Bacteria	15
Bacteria	5
Bacteria	28
Bacteria	24
Bacteria	55
Bacteria	44
Bacteria	182
Bacteria	46
Bacteria	6
Bacteria	90
Bacteria	15
Bacteria	16
Bacteria	14
Bacteria	47
Bacteria	14
Bacteria	15
Bacteria	45
Bacteria	67
Bacteria	18
Bacteria	9
Bacteria	16
Bacteria	9
Bacteria	79
Bacteria	29
Bacteria	28
Bacteria	21
Bacteria	29
Bacteria	12
Bacteria	20
Bacteria	58
Bacteria	17
Bacteria	6
Bacteria	40
Bacteria	64
Bacteria	18
Archaea	56
Bacteria	51
Bacteria	25
Archaea	14
Bacteria	6
Bacteria	7
Bacteria	20
Bacteria	15
Bacteria	95
Bacteria	20
Bacteria	126
Bacteria	49
Bacteria	42
Bacteria	75
Bacteria	23
Bacteria	66
Bacteria	22
Bacteria	15
Bacteria	18
Bacteria	78
Bacteria	6
Bacteria	5
Bacteria	45
Bacteria	5
Bacteria	6
Bacteria	11
Bacteria	8
Bacteria	6
Bacteria	5
Bacteria	5
Bacteria	5
Bacteria	5
Bacteria	5
Bacteria	5
Bacteria	17
Bacteria	5
Bacteria	6
Bacteria	5
Bacteria	5
Bacteria	5
Bacteria	45
Bacteria	41
Bacteria	30
Bacteria	33
Bacteria	61
Bacteria	5
Bacteria	30
Bacteria	5
Bacteria	6
Bacteria	6
Bacteria	24
Bacteria	53
Bacteria	43
Bacteria	27
Bacteria	21
Bacteria	5
Bacteria	13
Bacteria	63
Bacteria	46
Bacteria	62
Bacteria	13
Bacteria	13
Bacteria	15
Bacteria	15
Bacteria	45
Bacteria	61
Bacteria	36
Bacteria	51
Bacteria	84
Bacteria	46
Bacteria	50
Bacteria	46
Bacteria	13
Bacteria	67
Bacteria	93
Bacteria	88
Bacteria	7
Bacteria	7
Bacteria	64
Bacteria	15
Bacteria	14
Bacteria	14
Bacteria	22
Bacteria	31
Bacteria	13
Bacteria	90
Bacteria	90
Bacteria	90
Bacteria	11
Bacteria	14
Bacteria	21
Bacteria	29
Bacteria	14
Bacteria	13
Bacteria	10
Bacteria	18
Bacteria	90
Bacteria	90
Bacteria	22
Bacteria	10
Bacteria	9
Bacteria	14
Bacteria	22
Bacteria	21
Bacteria	21
Bacteria	21
Bacteria	21
Bacteria	21
Bacteria	18
Bacteria	32
Bacteria	18
Bacteria	13
Bacteria	14
Bacteria	90
Bacteria	90
Bacteria	13
Bacteria	16
Bacteria	22
Bacteria	23
Bacteria	22
Bacteria	26
Bacteria	8
Bacteria	14
Bacteria	21
Bacteria	14
Bacteria	18
Bacteria	15
Bacteria	53
Bacteria	19
Bacteria	18
Bacteria	15
Bacteria	13
Bacteria	31
Bacteria	12
Bacteria	24
Bacteria	17
Bacteria	28
Bacteria	31
Bacteria	25
Archaea	44
Archaea	49
Bacteria	46
Bacteria	33
Bacteria	26
Bacteria	49
Bacteria	21
Bacteria	12
Bacteria	14
Bacteria	29
Bacteria	16
Bacteria	21
Bacteria	15
Bacteria	15
Bacteria	47
Bacteria	47
Bacteria	50
Bacteria	17
