family	num	cov	type
family_1	10-20	20.59	BDP
family_1	10-20	17.78	BUP
family_1	20-30	26.83	BDP
family_1	20-30	23.91	BUP
family_1	30-40	33.33	BDP
family_1	30-40	29.55	BUP
family_1	40-50	42.55	BDP
family_1	40-50	31.11	BUP
family_1	50-60	53.33	BDP
family_1	50-60	33.33	BUP
family_1	60-70	61.36	BDP
family_1	60-70	37.78	BUP
family_1	70-80	72.09	BDP
family_1	70-80	41.67	BUP
family_1	80-90	78.05	BDP
family_1	80-90	28.57	BUP
family_1	90-100	84.44	BDP
family_1	90-100	18.92	BUP
family_2	10-20	15	BDP
family_2	10-20	14.75	BUP
family_2	20-30	24.19	BDP
family_2	20-30	22.03	BUP
family_2	30-40	33.33	BDP
family_2	30-40	28.57	BUP
family_2	40-50	41.07	BDP
family_2	40-50	33.33	BUP
family_2	50-60	50.75	BDP
family_2	50-60	33.82	BUP
family_2	60-70	60	BDP
family_2	60-70	36	BUP
family_2	70-80	67.92	BDP
family_2	70-80	36.21	BUP
family_2	80-90	75	BDP
family_2	80-90	31.67	BUP
family_2	90-100	83.19	BDP
family_2	90-100	31.82	BUP
family_3	10-20	16.67	BDP
family_3	10-20	16.07	BUP
family_3	20-30	23.81	BDP
family_3	20-30	19.67	BUP
family_3	30-40	34.38	BDP
family_3	30-40	24.24	BUP
family_3	40-50	42.86	BDP
family_3	40-50	26.23	BUP
family_3	50-60	51.43	BDP
family_3	50-60	26.98	BUP
family_3	60-70	59.68	BDP
family_3	60-70	29	BUP
family_3	70-80	69.7	BDP
family_3	70-80	31.15	BUP
family_3	80-90	79.31	BDP
family_3	80-90	33.33	BUP
family_3	90-100	87.4	BDP
family_3	90-100	31.16	BUP
family_4	10-20	15.28	BDP
family_4	10-20	14.47	BUP
family_4	20-30	24	BDP
family_4	20-30	19.48	BUP
family_4	30-40	33.75	BDP
family_4	30-40	22.86	BUP
family_4	40-50	42.86	BDP
family_4	40-50	25	BUP
family_4	50-60	51.39	BDP
family_4	50-60	25.35	BUP
family_4	60-70	59.15	BDP
family_4	60-70	25.71	BUP
family_4	70-80	73.44	BDP
family_4	70-80	28	BUP
family_4	80-90	82.35	BDP
family_4	80-90	32.43	BUP
family_4	90-100	88.78	BDP
family_4	90-100	36.36	BUP
family_5	10-20	15	BDP
family_5	10-20	15.25	BUP
family_5	20-30	24.14	BDP
family_5	20-30	22.41	BUP
family_5	30-40	33.33	BDP
family_5	30-40	28.33	BUP
family_5	40-50	42.37	BDP
family_5	40-50	32.14	BUP
family_5	50-60	52.73	BDP
family_5	50-60	33.33	BUP
family_5	60-70	62.3	BDP
family_5	60-70	37.1	BUP
family_5	70-80	70.37	BDP
family_5	70-80	36.36	BUP
family_5	80-90	79.25	BDP
family_5	80-90	30.91	BUP
family_5	90-100	87.38499999999999	BDP
family_5	90-100	17.74	BUP
family_6	10-20	13.64	BDP
family_6	10-20	12.73	BUP
family_6	20-30	23.19	BDP
family_6	20-30	18	BUP
family_6	30-40	33.33	BDP
family_6	30-40	26.76	BUP
family_6	40-50	44.26	BDP
family_6	40-50	36	BUP
family_6	50-60	53.85	BDP
family_6	50-60	45.9	BUP
family_6	60-70	63.64	BDP
family_6	60-70	51.85	BUP
family_6	70-80	71.21	BDP
family_6	70-80	55.93	BUP
family_6	80-90	77.36	BDP
family_6	80-90	43.55	BUP
family_6	90-100	84.48	BDP
family_6	90-100	37.88	BUP
family_7	10-20	16.36	BDP
family_7	10-20	15.52	BUP
family_7	20-30	23.73	BDP
family_7	20-30	20.97	BUP
family_7	30-40	32.69	BDP
family_7	30-40	25.4	BUP
family_7	40-50	44	BDP
family_7	40-50	36.62	BUP
family_7	50-60	52.78	BDP
family_7	50-60	44.78	BUP
family_7	60-70	61.33	BDP
family_7	60-70	46.77	BUP
family_7	70-80	69.44	BDP
family_7	70-80	36.92	BUP
family_7	80-90	77.78	BDP
family_7	80-90	18.03	BUP
family_7	90-100	85.14	BDP
family_7	90-100	16.67	BUP
family_8	10-20	14.71	BDP
family_8	10-20	14.29	BUP
family_8	20-30	23.53	BDP
family_8	20-30	20.63	BUP
family_8	30-40	34.29	BDP
family_8	30-40	27.63	BUP
family_8	40-50	43.1	BDP
family_8	40-50	35.14	BUP
family_8	50-60	52.05	BDP
family_8	50-60	39.06	BUP
family_8	60-70	60.32	BDP
family_8	60-70	38.98	BUP
family_8	70-80	67.39	BDP
family_8	70-80	39.34	BUP
family_8	80-90	75.47	BDP
family_8	80-90	39.22	BUP
family_8	90-100	72.97999999999999	BDP
family_8	90-100	27.45	BUP
family_9	10-20	14.49	BDP
family_9	10-20	14.29	BUP
family_9	20-30	23.53	BDP
family_9	20-30	20.97	BUP
family_9	30-40	33.33	BDP
family_9	30-40	27.59	BUP
family_9	40-50	43.4	BDP
family_9	40-50	33.33	BUP
family_9	50-60	53.85	BDP
family_9	50-60	38.71	BUP
family_9	60-70	62.71	BDP
family_9	60-70	45.31	BUP
family_9	70-80	70.91	BDP
family_9	70-80	43.55	BUP
family_9	80-90	78.12	BDP
family_9	80-90	40	BUP
family_9	90-100	87.27000000000001	BDP
family_9	90-100	49.19	BUP
family_10	10-20	16.67	BDP
family_10	10-20	15.79	BUP
family_10	20-30	26.15	BDP
family_10	20-30	20.34	BUP
family_10	30-40	33.93	BDP
family_10	30-40	27.85	BUP
family_10	40-50	42.37	BDP
family_10	40-50	30.56	BUP
family_10	50-60	53.12	BDP
family_10	50-60	32.2	BUP
family_10	60-70	63.16	BDP
family_10	60-70	45.61	BUP
family_10	70-80	70.31	BDP
family_10	70-80	52.38	BUP
family_10	80-90	76.92	BDP
family_10	80-90	43.33	BUP
family_10	90-100	81.82	BDP
family_10	90-100	42.11	BUP
