	Immune modulation	Exotoxin	Effector delivery system	Exoenzyme	Stress survival	Adherence	Regulation	Motility	Biofilm	Nutritional/Metabolic factor	multidrug	fosfomycin	fusidic_acid	trimethoprim	macrolide-lincosamide-streptogramin	beta_lactam	aminoglycoside	tetracycline	chloramphenicol	polymyxin	other1	CLP	CDP	ADP	ALP	Anti_RecBCD	Anti_CRISPR	Anti_RM	Anti_Thoeris	Anti_Dnd	Anti_CBASS	Anti_Retron	Anti_TA	NADP	Anti_Gabija	Anti_Pycsar	Other	RM	AbiD	PD-Lambda-1	Retron	Rst_3HP	AbiU	ShosTA	RosmerTA	PD-T4-3	AbiH	other2
Enterobacteriaceae	14.11	11.66	13.8	0	11.69	8.64	0	2.32	0	0	10.38	0	0	2.32	2.58	5.81	5.25	2.32	3.32	3	2.81	9.94	11.35	1	1	14.05	10.68	12.96	11.09	8.86	11.12	11.58	9.16	0	4.64	0	9.22	12.15	9.82	11.07	11.6	11.59	11.5	10.9	10.14	11.13	9.36	15.13
Pseudomonadaceae	1	0	1.58	0	0	0	0	1	2.58	0	0	0	0	0	0	0	1	0	0	0	0	6.85	5.78	0	0	0	11.53	7.45	4.32	10.03	10.41	0	0	0	0	0	0	8.64	3.46	2.81	7.93	5.61	6.36	7.57	8.17	0	0	11.98
Moraxellaceae	0	0	0	0	0	1	3.7	0	0	0	0	0	0	0	0	3.91	0	0	1.58	0	1	5.29	4.86	0	0	0	6.3	5.93	11.77	11.7	7.8	1	0	0	0	0	0	7.27	0	4.58	3	4.75	1	2.81	7.56	0	4.91	11.33
Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.29	6.07	0	0	0	6.36	7.21	7.09	7.32	6.69	0	0	1.58	2	0	0	7.38	2.32	2	6.34	1	2.81	6.07	4.39	0	0	9.72
Vibrionaceae	0	7.5	0	0	0	0	0	1.58	0	0	0	0	0	0	0	0	0	0	0	0	0	4.86	4.39	0	0	0	3.58	4.81	3.58	0	4.52	0	0	0	0	0	0	8.04	3.17	6.74	5.36	2.58	3.32	3.32	5.13	0	3	10.13
Xanthomonadaceae	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5.09	4.81	0	0	0	5.13	7.61	4.17	2.58	7.14	0	0	0	0	0	0	5.29	0	0	3.58	0	2.58	4.86	5.39	0	0	7.6
Pasteurellaceae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32	0	0	0	5.17	2.32	0	0	0	7.38	9.66	4.17	0	0	0	0	0	0	0	5.04	6.04	0	4.81	2	0	0	0	0	0	0	8.44
Aeromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4.46	2.58	0	0	0	2.58	2.58	0	0	4.52	0	0	0	0	0	1.58	6.27	2	4.64	4.09	1	1.58	4.32	5.04	0	2.81	8.52
Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.75	4.7	0	0	0	8.5	5.61	1	0	0	0	0	0	0	0	1	1.58	0	0	0	0	0	1	2	0	0	9.34
Staphylococcaceae	13.2	13.58	2.32	12.51	0	6.94	0	0	0	1	1.58	6.85	8.59	7.01	5.04	2.32	3.7	2.58	0	0	1	7.58	6.21	0	0	0	11.62	2.58	1.58	0	0	0	0	0	0	1.58	0	8.72	11.38	6.83	0	0	0	2	0	0	5.86	11.39
