type	cv
votu	2
votu	2
votu	4
votu	6
votu	2
votu	2
votu	56
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	1
votu	2
votu	9
votu	1
votu	1
votu	1
votu	1
votu	12
votu	3
votu	3
votu	1
votu	4
votu	2
votu	1
votu	4
votu	7
votu	5
votu	4
votu	1
votu	7
votu	5
votu	2
votu	1
votu	1
votu	2
votu	77
votu	82
votu	2
votu	1
votu	1
votu	1
votu	1
votu	5
votu	1
votu	11
votu	1
votu	2
votu	4
votu	2
votu	11
votu	1
votu	2
votu	5
votu	10
votu	2
votu	2
votu	5
votu	3
votu	3
votu	1
votu	1
votu	3
votu	4
votu	4
votu	3
votu	1
votu	2
votu	1
votu	2
votu	2
votu	5
votu	2
votu	18
votu	1
votu	1
votu	1
votu	1
votu	234
votu	3
votu	2
votu	1
votu	19
votu	1
votu	3
votu	1
votu	1
votu	3
votu	2
votu	8
votu	2
votu	2
votu	1
votu	1
votu	1
votu	13
votu	2
votu	1
votu	2
votu	2
votu	2
votu	1
votu	7
votu	2
votu	2
votu	2
votu	6
votu	8
votu	1
votu	1
votu	5
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	8
votu	1
votu	1
votu	15
votu	2
votu	2
votu	1
votu	1
votu	4
votu	1
votu	5
votu	3
votu	1
votu	2
votu	3
votu	4
votu	1
votu	3
votu	1
votu	4
votu	5
votu	2
votu	1
votu	3
votu	2
votu	160
votu	8
votu	1
votu	5
votu	2
votu	5
votu	34
votu	2
votu	1
votu	1
votu	1
votu	1
votu	10
votu	1
votu	3
votu	5
votu	1
votu	1
votu	1
votu	3
votu	1
votu	2
votu	6
votu	1
votu	2
votu	1
votu	8
votu	2
votu	1
votu	1
votu	1
votu	3
votu	3
votu	1
votu	4
votu	2
votu	3
votu	2
votu	4
votu	1
votu	2
votu	3
votu	3
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	3
votu	2
votu	6
votu	2
votu	2
votu	2
votu	4
votu	1
votu	2
votu	12
votu	2
votu	2
votu	2
votu	2
votu	5
votu	2
votu	2
votu	1
votu	38
votu	3
votu	1
votu	2
votu	1
votu	1
votu	3
votu	92
votu	38
votu	2
votu	6
votu	1
votu	1
votu	1
votu	4
votu	2
votu	2
votu	2
votu	1
votu	18
votu	2
votu	1
votu	8
votu	1
votu	1
votu	1
votu	4
votu	1
votu	2
votu	1
votu	4
votu	1
votu	2
votu	5
votu	1
votu	1
votu	3
votu	2
votu	1
votu	49
votu	2
votu	4
votu	1
votu	2
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	2
votu	3
votu	1
votu	13
votu	1
votu	3
votu	2
votu	6
votu	1
votu	1
votu	2
votu	3
votu	2
votu	1
votu	4
votu	1
votu	1
votu	3
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	7
votu	1
votu	3
votu	17
votu	1
votu	2
votu	5
votu	1
votu	2
votu	4
votu	1
votu	3
votu	1
votu	1
votu	1
votu	2
votu	3
votu	1
votu	2
votu	1
votu	1
votu	9
votu	2
votu	1
votu	28
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	6
votu	3
votu	3
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	32
votu	10
votu	1
votu	1
votu	3
votu	2
votu	1
votu	1
votu	2
votu	2
votu	2
votu	1
votu	3
votu	1
votu	1
votu	3
votu	1
votu	4
votu	1
votu	6
votu	2
votu	6
votu	1
votu	2
votu	2
votu	2
votu	1
votu	6
votu	1
votu	1
votu	1
votu	36
votu	3
votu	10
votu	1
votu	2
votu	3
votu	2
votu	1
votu	3
votu	1
votu	1
votu	3
votu	3
votu	2
votu	10
votu	1
votu	2
votu	1
votu	1
votu	4
votu	3
votu	2
votu	1
votu	3
votu	2
votu	4
votu	37
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	26
votu	1
votu	2
votu	3
votu	2
votu	2
votu	2
votu	9
votu	4
votu	2
votu	5
votu	2
votu	1
votu	3
votu	52
votu	2
votu	1
votu	3
votu	7
votu	3
votu	2
votu	2
votu	1
votu	1
votu	2
votu	36
votu	17
votu	1
votu	4
votu	1
votu	5
votu	1
votu	2
votu	1
votu	2
votu	4
votu	3
votu	4
votu	1
votu	1
votu	2
votu	1
votu	2
votu	5
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	4
votu	1
votu	1
votu	1
votu	6
votu	5
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	13
votu	6
votu	3
votu	1
votu	5
votu	10
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	2
votu	5
votu	1
votu	2
votu	2
votu	3
votu	1
votu	1
votu	6
votu	1
votu	2
votu	7
votu	1
votu	2
votu	8
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	8
votu	2
votu	3
votu	7
votu	1
votu	3
votu	3
votu	1
votu	4
votu	4
votu	1
votu	1
votu	1
votu	2
votu	2
votu	3
votu	3
votu	1
votu	2
votu	6
votu	1
votu	1
votu	1
votu	19
votu	9
votu	1
votu	2
votu	2
votu	1
votu	8
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	4
votu	16
votu	1
votu	1
votu	2
votu	1
votu	60
votu	1
votu	4
votu	3
votu	1
votu	2
votu	3
votu	1
votu	3
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	3
votu	3
votu	1
votu	1
votu	6
votu	2
votu	1
votu	4
votu	1
votu	2
votu	2
votu	6
votu	1
votu	2
votu	2
votu	5
votu	3
votu	2
votu	1
votu	4
votu	2
votu	23
votu	41
votu	3
votu	6
votu	1
votu	1
votu	5
votu	1
votu	1
votu	1
votu	2
votu	1
votu	3
votu	2
votu	3
votu	6
votu	1
votu	2
votu	4
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	2
votu	1
votu	3
votu	4
votu	1
votu	1
votu	3
votu	5
votu	1
votu	41
votu	1
votu	6
votu	2
votu	22
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	2
votu	3
votu	1
votu	1
votu	10
votu	13
votu	1
votu	1
votu	1
votu	7
votu	3
votu	2
votu	1
votu	1
votu	2
votu	2
votu	1
votu	2
votu	1
votu	1
votu	4
votu	4
votu	1
votu	7
votu	2
votu	1
votu	9
votu	2
votu	1
votu	2
votu	8
votu	1
votu	1
votu	2
votu	1
votu	6
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	4
votu	13
votu	1
votu	5
votu	7
votu	2
votu	3
votu	1
votu	1
votu	6
votu	3
votu	4
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	3
votu	2
votu	2
votu	2
