sample_id	g__Lactiplantibacillus	g__Ligilactobacillus	g__Lacticaseibacillus	g__Lactobacillus	g__Streptococcus	g__Enterococcus	g__Enterococcus_B	g__Listeria	g__Listeria_A	g__Staphylococcus	g__Bacillus	g__Bacillus_A	g__Paenibacillus	g__Streptomyces	g__Mycobacterium	g__Corynebacterium	g__Rhizobium	g__Brucella	g__Neisseria	g__Burkholderia	g__Acinetobacter	g__Pseudomonas	g__Pseudomonas_E	g__Serratia	g__Yersinia	g__Cronobacter	g__Enterobacter	g__Klebsiella	g__Escherichia	g__Citrobacter	g__Salmonella
1	1.616006921	2.231332524	2.179844384	1.631695663	2.039958854	2.826113155	1.561381749	1.519765706	1.693527046	1.599498766	1.59006008	1.754654653	1.777210007	2.49448772	1.534248041	1.833757618	1.542654516	4.553851769	1.819349561	1.506858492	1.612410275	82.28837725	1.837872728	2.341874228	2.058331423	1.5834979	1.768674747	1.879513997	1.585637189	1.948669228	1.577088871
2	4.977339796	1.59364705	1.941786128	1.619451244	1.664620599	2.539639202	1.942682435	1.549851122	1.640400959	5.508996304	1.629313044	1.528397359	2.201610486	2.063646752	2.339471852	3.662927965	1.529572593	1.516364539	1.702011097	1.671257514	1.827581396	2.216427855	2.056879607	1.926711791	1.509686789	1.57191837	1.546795812	1.514512755	2.425679483	1.566819106	1.783095985
3	10.66492174	1.859164063	1.975988782	1.501486013	2.548040908	2.176954555	4.085487988	1.771477608	1.511255071	2.06505946	1.571224498	1.575587868	2.258076684	1.503049556	2.640108103	1.506189679	1.622984436	1.505613971	1.705810947	2.422892996	1.517207016	2.225378444	4.483220206	1.543033581	2.174299649	1.54628599	2.280071082	1.992682664	1.872918318	1.684323548	1.587449881
4	2.306533366	1.527624147	2.215677674	1.609880178	1.691739786	1.838916973	2.074190712	1.635435515	2.434976637	1.943503539	1.550872086	2.274619088	1.662717406	1.660776315	2.934976361	2.478896004	1.557829534	1.507613737	1.801394368	2.169707383	1.931970727	2.174754707	1.969777177	2.283515814	1.622456294	1.781971806	2.17984509	1.537507423	1.658385102	1.587518406	1.549160572
5	1.508902792	1.640457791	1.575705729	1.773597237	1.672352113	1.511635819	2.355773301	1.549091273	2.179975754	1.952287719	1.584539015	1.612059478	1.749348842	2.193671439	10.12812467	1.678660238	1.658177127	1.501253508	1.562467142	1.524546354	1.579469922	51.06905465	1.592645422	1.770213144	2.038909005	1.575052901	1.557594127	1.519355213	1.784595304	1.562304826	1.531171748
6	2.197202145	2.172418152	1.564737121	2.307871534	1.672805792	1.655053829	1.724027239	1.623565936	2.045845268	3.945589655	1.660352617	1.517975043	1.904958089	1.681532899	3.22502238	8.585853172	1.595539326	1.506865182	2.548880063	1.563749974	1.997355369	1.558313038	1.896376234	1.820669377	2.33145936	1.985795208	1.820130338	1.846145208	1.640669903	2.559943847	1.512070983
7	1.629649032	1.786978551	1.766931182	2.596603004	1.752635764	1.750177058	1.576666935	1.844982833	1.71958832	1.555358148	1.751929063	1.691856796	2.077780824	1.749955332	2.215323806	1.672197072	1.536860565	3.153851906	1.725733851	1.798251216	1.661500757	1.511883165	1.727272505	1.953043387	2.285525495	2.40741752	3.007747425	1.587606414	2.062769791	1.76673629	1.593671935
8	1.820560871	1.7389791	1.778378728	3.121653756	2.445430681	1.984551851	1.764996559	1.537337742	1.509541419	1.530271431	1.754050839	2.067681895	1.852724388	1.752368533	2.252155529	1.763579847	2.26257115	1.606805326	2.115675112	1.846980626	2.66190936	1.509034792	1.779635054	1.74644602	2.42260306	2.678480782	2.175479151	1.550270229	3.113945354	1.770269973	1.539208148
9	1.70371416	1.648016193	2.59779327	3.428657323	1.955005294	2.359723915	2.472016578	1.800036109	1.507561959	1.735614389	1.752564189	3.762676628	1.792617963	1.936310032	2.481084804	2.137080413	1.506156434	1.597886836	1.522247821	1.9534665	1.85533183	1.538647202	1.794188002	2.053410139	1.575677176	2.130399911	2.260224111	1.527837728	3.107783378	1.555593427	1.501104965
10	2.055025604	1.61530919	1.600634007	4.45040543	3.002935596	1.925385988	1.657118359	1.529494623	2.262560796	1.559297509	3.415695422	1.532409348	1.870152349	1.823934291	3.120397451	1.576986523	1.783302064	1.579428904	1.657659203	1.682932264	1.671180509	1.551472561	1.565052632	2.915056117	1.730510488	1.562744118	3.202586743	1.591972409	1.652505883	1.649145049	1.504241599
