Genome	type
BDP_100755	BDP
BDP_101520	BDP
BDP_101604	BDP
BDP_101661	BDP
BDP_102330	BDP
BDP_102470	BDP
BDP_102934	BDP
BDP_102979	BDP
BDP_103217	BDP
BDP_103454	BDP
BDP_103710	BDP
BDP_103853	BDP
BDP_103856	BDP
BDP_104297	BDP
BDP_104725	BDP
BDP_105183	BDP
BDP_105218	BDP
BDP_105387	BDP
BDP_105591	BDP
BDP_105932	BDP
BDP_106977	BDP
BDP_107074	BDP
BDP_107162	BDP
BDP_10718	BDP
BDP_107845	BDP
BDP_107910	BDP
BDP_108310	BDP
BDP_10836	BDP
BDP_10842	BDP
BDP_108915	BDP
BDP_109559	BDP
BDP_109860	BDP
BDP_110266	BDP
BDP_110741	BDP
BDP_111281	BDP
BDP_111589	BDP
BDP_112821	BDP
BDP_112923	BDP
BDP_113546	BDP
BDP_113776	BDP
BDP_113787	BDP
BDP_113797	BDP
BDP_114271	BDP
BDP_114334	BDP
BDP_114529	BDP
BDP_11493	BDP
BDP_115611	BDP
BDP_115641	BDP
BDP_115646	BDP
BDP_116110	BDP
BDP_116302	BDP
BDP_116405	BDP
BDP_116408	BDP
BDP_116876	BDP
BDP_117027	BDP
BDP_11720	BDP
BDP_117261	BDP
BDP_118427	BDP
BDP_118431	BDP
BDP_118434	BDP
BDP_118529	BDP
BDP_118637	BDP
BDP_119177	BDP
BDP_119192	BDP
BDP_119481	BDP
BDP_119688	BDP
BDP_120519	BDP
BDP_120653	BDP
BDP_121117	BDP
BDP_121185	BDP
BDP_121231	BDP
BDP_121332	BDP
BDP_122029	BDP
BDP_122033	BDP
BDP_122244	BDP
BDP_122565	BDP
BDP_122931	BDP
BDP_123913	BDP
BDP_124810	BDP
BDP_124950	BDP
BDP_125042	BDP
BDP_126678	BDP
BDP_126993	BDP
BDP_127169	BDP
BDP_12723	BDP
BDP_127368	BDP
BDP_12745	BDP
BDP_127796	BDP
BDP_127814	BDP
BDP_128023	BDP
BDP_128721	BDP
BDP_129156	BDP
BDP_129359	BDP
BDP_129572	BDP
BDP_129600	BDP
BDP_129767	BDP
BDP_129853	BDP
BDP_13022	BDP
BDP_130448	BDP
BDP_130647	BDP
BDP_130651	BDP
BDP_130652	BDP
BDP_130995	BDP
BDP_13100	BDP
BDP_131200	BDP
BDP_131250	BDP
BDP_131302	BDP
BDP_131358	BDP
BDP_132011	BDP
BDP_132302	BDP
BDP_13250	BDP
BDP_133030	BDP
BDP_134287	BDP
BDP_134874	BDP
BDP_134894	BDP
BDP_135851	BDP
BDP_135899	BDP
BDP_13591	BDP
BDP_136000	BDP
BDP_136130	BDP
BDP_136354	BDP
BDP_136875	BDP
BDP_136901	BDP
BDP_137007	BDP
BDP_137249	BDP
BDP_137349	BDP
BDP_13739	BDP
BDP_137462	BDP
BDP_137620	BDP
BDP_137668	BDP
BDP_137816	BDP
BDP_137877	BDP
BDP_138095	BDP
BDP_139111	BDP
BDP_139315	BDP
BDP_139350	BDP
BDP_139791	BDP
BDP_140011	BDP
BDP_140306	BDP
BDP_140796	BDP
BDP_141123	BDP
BDP_141319	BDP
BDP_141438	BDP
BDP_141867	BDP
BDP_142246	BDP
BDP_142344	BDP
BDP_142426	BDP
BDP_142631	BDP
BDP_14311	BDP
BDP_144292	BDP
BDP_14435	BDP
BDP_144406	BDP
BDP_144566	BDP
BDP_144664	BDP
BDP_145798	BDP
BDP_14602	BDP
BDP_146659	BDP
BDP_14685	BDP
BDP_146901	BDP
BDP_147297	BDP
BDP_147761	BDP
BDP_147807	BDP
BDP_14830	BDP
BDP_148455	BDP
BDP_148900	BDP
BDP_148922	BDP
BDP_14904	BDP
BDP_149306	BDP
BDP_149355	BDP
BDP_149628	BDP
BDP_150258	BDP
BDP_150754	BDP
BDP_1508	BDP
BDP_152116	BDP
BDP_152694	BDP
BDP_152755	BDP
BDP_152878	BDP
BDP_153085	BDP
BDP_153385	BDP
BDP_153488	BDP
BDP_15374	BDP
BDP_154271	BDP
BDP_154422	BDP
BDP_155007	BDP
BDP_155010	BDP
BDP_155012	BDP
BDP_155026	BDP
BDP_155190	BDP
BDP_15563	BDP
BDP_15580	BDP
BDP_156072	BDP
BDP_156082	BDP
BDP_156097	BDP
BDP_156105	BDP
BDP_156318	BDP
BDP_156668	BDP
BDP_15782	BDP
BDP_158800	BDP
BDP_158825	BDP
BDP_158826	BDP
BDP_158831	BDP
BDP_158877	BDP
BDP_160325	BDP
BDP_160869	BDP
BDP_160927	BDP
BDP_161025	BDP
BDP_161143	BDP
BDP_161320	BDP
BDP_161691	BDP
BDP_161898	BDP
BDP_161976	BDP
BDP_162421	BDP
BDP_162651	BDP
BDP_162697	BDP
BDP_163306	BDP
BDP_163444	BDP
BDP_164286	BDP
BDP_164307	BDP
BDP_165550	BDP
BDP_16561	BDP
BDP_165867	BDP
BDP_166625	BDP
BDP_166886	BDP
BDP_16704	BDP
BDP_167313	BDP
BDP_168184	BDP
BDP_169110	BDP
BDP_169232	BDP
BDP_1697	BDP
BDP_169984	BDP
BDP_170012	BDP
BDP_170089	BDP
BDP_170223	BDP
BDP_170355	BDP
BDP_171015	BDP
BDP_171143	BDP
BDP_171270	BDP
BDP_17177	BDP
BDP_171819	BDP
BDP_172416	BDP
BDP_172784	BDP
BDP_172921	BDP
BDP_172927	BDP
BDP_173163	BDP
BDP_173834	BDP
