sample_size	sample_times	vcs
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
4000	0	214
4000	1	220
4000	2	228
4000	3	234
4000	4	227
4000	5	220
4000	6	225
4000	7	231
4000	8	202
4000	9	222
8000	0	291
8000	1	300
8000	2	287
8000	3	283
8000	4	296
8000	5	297
8000	6	293
8000	7	290
8000	8	288
8000	9	291
12000	0	332
12000	1	336
12000	2	326
12000	3	341
12000	4	342
12000	5	355
12000	6	314
12000	7	346
12000	8	316
12000	9	331
16000	0	365
16000	1	380
16000	2	373
16000	3	351
16000	4	377
16000	5	366
16000	6	371
16000	7	383
16000	8	379
16000	9	368
20000	0	401
20000	1	410
20000	2	396
20000	3	413
20000	4	409
20000	5	416
20000	6	385
20000	7	417
20000	8	392
20000	9	398
24000	0	424
24000	1	442
24000	2	429
24000	3	426
24000	4	421
24000	5	444
24000	6	403
24000	7	440
24000	8	428
24000	9	433
28000	0	448
28000	1	448
28000	2	472
28000	3	476
28000	4	464
28000	5	456
28000	6	439
28000	7	457
28000	8	466
28000	9	444
32000	0	471
32000	1	459
32000	2	476
32000	3	470
32000	4	495
32000	5	490
32000	6	464
32000	7	475
32000	8	470
32000	9	465
36000	0	529
36000	1	483
36000	2	500
36000	3	468
36000	4	513
36000	5	510
36000	6	494
36000	7	501
36000	8	499
36000	9	488
40000	0	514
40000	1	522
40000	2	532
40000	3	518
40000	4	500
40000	5	521
40000	6	512
40000	7	486
40000	8	518
40000	9	529
44000	0	536
44000	1	537
44000	2	516
44000	3	519
44000	4	539
44000	5	535
44000	6	531
44000	7	527
44000	8	529
44000	9	528
48000	0	547
48000	1	546
48000	2	536
48000	3	552
48000	4	568
48000	5	531
48000	6	549
48000	7	556
48000	8	540
48000	9	554
52000	0	568
52000	1	571
52000	2	566
52000	3	574
52000	4	562
52000	5	573
52000	6	564
52000	7	565
52000	8	563
52000	9	577
56000	0	590
56000	1	590
56000	2	582
56000	3	593
56000	4	591
56000	5	568
56000	6	571
56000	7	598
56000	8	586
56000	9	579
60000	0	607
60000	1	581
60000	2	599
60000	3	588
60000	4	581
60000	5	606
60000	6	577
60000	7	589
60000	8	615
60000	9	588
64000	0	610
64000	1	614
64000	2	582
64000	3	603
64000	4	601
64000	5	625
64000	6	621
64000	7	600
64000	8	597
64000	9	603
68000	0	615
68000	1	629
68000	2	613
68000	3	609
68000	4	615
68000	5	619
68000	6	624
68000	7	605
68000	8	634
68000	9	632
72000	0	620
72000	1	636
72000	2	652
72000	3	635
72000	4	640
72000	5	620
72000	6	629
72000	7	629
72000	8	662
72000	9	636
76000	0	642
76000	1	641
76000	2	632
76000	3	654
76000	4	646
76000	5	648
76000	6	663
76000	7	643
76000	8	627
76000	9	648
80000	0	651
80000	1	627
80000	2	667
80000	3	684
80000	4	669
80000	5	638
80000	6	649
80000	7	639
80000	8	679
80000	9	652
84000	0	663
84000	1	682
84000	2	672
84000	3	665
84000	4	659
84000	5	687
84000	6	675
84000	7	668
84000	8	673
84000	9	676
88000	0	688
88000	1	656
88000	2	675
88000	3	683
88000	4	701
88000	5	659
88000	6	669
88000	7	667
88000	8	670
88000	9	668
92000	0	681
92000	1	716
92000	2	673
92000	3	703
92000	4	687
92000	5	670
92000	6	686
92000	7	702
92000	8	681
92000	9	675
96000	0	719
96000	1	703
96000	2	706
96000	3	676
96000	4	708
96000	5	698
96000	6	704
96000	7	690
96000	8	698
96000	9	689
100000	0	693
100000	1	712
100000	2	694
100000	3	711
100000	4	700
100000	5	714
100000	6	733
100000	7	722
100000	8	706
100000	9	720
104000	0	697
104000	1	724
104000	2	718
104000	3	711
104000	4	703
104000	5	721
104000	6	722
104000	7	723
104000	8	702
104000	9	707
108000	0	713
108000	1	724
108000	2	723
108000	3	719
108000	4	726
108000	5	703
108000	6	750
108000	7	720
108000	8	734
108000	9	719
112000	0	728
112000	1	745
112000	2	711
112000	3	738
112000	4	768
112000	5	753
112000	6	744
112000	7	771
112000	8	724
112000	9	732
116000	0	757
116000	1	750
116000	2	745
116000	3	734
116000	4	741
116000	5	758
116000	6	743
116000	7	756
116000	8	751
116000	9	752
120000	0	751
120000	1	757
120000	2	752
120000	3	780
120000	4	789
120000	5	775
120000	6	767
120000	7	764
120000	8	744
120000	9	744
124000	0	764
124000	1	757
124000	2	755
124000	3	758
124000	4	789
124000	5	797
124000	6	773
124000	7	760
124000	8	763
124000	9	765
128000	0	799
128000	1	781
128000	2	776
128000	3	792
128000	4	768
128000	5	798
128000	6	779
128000	7	762
128000	8	798
128000	9	738
132000	0	783
132000	1	760
132000	2	793
132000	3	782
132000	4	796
132000	5	771
132000	6	792
132000	7	789
132000	8	800
132000	9	794
136000	0	822
136000	1	796
136000	2	805
136000	3	784
136000	4	800
136000	5	804
136000	6	797
136000	7	793
136000	8	810
136000	9	811
140000	0	810
140000	1	811
140000	2	816
140000	3	789
140000	4	807
140000	5	784
140000	6	795
140000	7	814
140000	8	820
140000	9	800
144000	0	849
144000	1	804
144000	2	798
144000	3	807
144000	4	822
144000	5	802
144000	6	799
144000	7	823
144000	8	819
144000	9	809
148000	0	821
148000	1	814
148000	2	827
148000	3	832
148000	4	796
148000	5	828
148000	6	816
148000	7	813
148000	8	824
148000	9	822
152000	0	837
152000	1	854
152000	2	839
152000	3	827
152000	4	820
152000	5	822
152000	6	841
152000	7	834
152000	8	832
152000	9	811
156000	0	838
156000	1	843
156000	2	845
156000	3	854
156000	4	839
156000	5	846
156000	6	834
156000	7	845
156000	8	834
156000	9	845
160000	0	859
160000	1	845
160000	2	861
160000	3	841
160000	4	850
160000	5	841
160000	6	843
160000	7	846
160000	8	858
160000	9	823
164000	0	855
164000	1	868
164000	2	850
164000	3	881
164000	4	841
164000	5	851
164000	6	851
164000	7	875
164000	8	838
164000	9	869
168000	0	851
168000	1	851
168000	2	893
168000	3	875
168000	4	874
168000	5	862
168000	6	863
168000	7	846
168000	8	871
168000	9	861
172000	0	883
172000	1	852
172000	2	874
172000	3	864
172000	4	870
172000	5	864
172000	6	881
172000	7	853
172000	8	838
172000	9	860
176000	0	879
176000	1	899
176000	2	882
176000	3	865
176000	4	855
176000	5	906
176000	6	880
176000	7	891
176000	8	868
176000	9	880
180000	0	860
180000	1	877
180000	2	867
180000	3	859
180000	4	881
180000	5	885
180000	6	892
180000	7	885
180000	8	885
180000	9	902
184000	0	893
184000	1	889
184000	2	882
184000	3	892
184000	4	879
184000	5	899
184000	6	886
184000	7	906
184000	8	891
184000	9	904
188000	0	889
188000	1	902
188000	2	891
188000	3	921
188000	4	862
188000	5	913
188000	6	902
188000	7	884
188000	8	900
188000	9	933
192000	0	907
192000	1	910
192000	2	912
192000	3	896
192000	4	903
192000	5	891
192000	6	876
192000	7	911
192000	8	888
192000	9	916
196000	0	913
196000	1	905
196000	2	913
196000	3	927
196000	4	927
196000	5	931
196000	6	927
196000	7	898
196000	8	897
196000	9	903
200000	0	935
200000	1	920
200000	2	932
200000	3	920
200000	4	920
200000	5	917
200000	6	942
200000	7	921
200000	8	914
200000	9	915
204000	0	923
204000	1	921
204000	2	928
204000	3	935
204000	4	937
204000	5	909
204000	6	921
204000	7	925
204000	8	929
204000	9	941
208000	0	935
208000	1	953
208000	2	918
208000	3	953
208000	4	930
208000	5	929
208000	6	926
208000	7	921
208000	8	943
208000	9	919
212000	0	942
212000	1	934
212000	2	941
212000	3	944
