sample_size	sample_times	vcs
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
4000	0	779
4000	1	790
4000	2	774
4000	3	770
4000	4	785
4000	5	800
4000	6	798
4000	7	732
4000	8	788
4000	9	774
8000	0	1156
8000	1	1151
8000	2	1146
8000	3	1193
8000	4	1162
8000	5	1180
8000	6	1150
8000	7	1125
8000	8	1161
8000	9	1144
12000	0	1474
12000	1	1467
12000	2	1461
12000	3	1458
12000	4	1471
12000	5	1481
12000	6	1473
12000	7	1448
12000	8	1528
12000	9	1446
16000	0	1758
16000	1	1747
16000	2	1680
16000	3	1728
16000	4	1771
16000	5	1775
16000	6	1679
16000	7	1709
16000	8	1720
16000	9	1725
20000	0	1925
20000	1	1939
20000	2	1930
20000	3	1984
20000	4	1938
20000	5	1951
20000	6	1937
20000	7	1971
20000	8	1927
20000	9	1970
24000	0	2158
24000	1	2148
24000	2	2173
24000	3	2105
24000	4	2169
24000	5	2174
24000	6	2122
24000	7	2155
24000	8	2180
24000	9	2115
28000	0	2334
28000	1	2327
28000	2	2329
28000	3	2301
28000	4	2312
28000	5	2350
28000	6	2350
28000	7	2394
28000	8	2291
28000	9	2336
32000	0	2468
32000	1	2510
32000	2	2437
32000	3	2474
32000	4	2494
32000	5	2446
32000	6	2511
32000	7	2502
32000	8	2494
32000	9	2531
36000	0	2716
36000	1	2657
36000	2	2643
36000	3	2656
36000	4	2627
36000	5	2655
36000	6	2668
36000	7	2651
36000	8	2691
36000	9	2654
40000	0	2790
40000	1	2854
40000	2	2780
40000	3	2820
40000	4	2802
40000	5	2853
40000	6	2827
40000	7	2870
40000	8	2800
40000	9	2771
44000	0	2953
44000	1	2971
44000	2	2948
44000	3	2950
44000	4	2976
44000	5	2970
44000	6	2901
44000	7	2940
44000	8	2955
44000	9	2917
48000	0	3077
48000	1	3086
48000	2	3068
48000	3	3094
48000	4	3035
48000	5	3033
48000	6	3083
48000	7	3089
48000	8	3115
48000	9	3090
52000	0	3251
52000	1	3180
52000	2	3207
52000	3	3177
52000	4	3203
52000	5	3188
52000	6	3225
52000	7	3140
52000	8	3169
52000	9	3157
56000	0	3306
56000	1	3389
56000	2	3354
56000	3	3289
56000	4	3308
56000	5	3327
56000	6	3278
56000	7	3317
56000	8	3418
56000	9	3323
60000	0	3405
60000	1	3406
60000	2	3414
60000	3	3449
60000	4	3461
60000	5	3387
60000	6	3451
60000	7	3385
60000	8	3491
60000	9	3354
64000	0	3609
64000	1	3558
64000	2	3552
64000	3	3510
64000	4	3493
64000	5	3528
64000	6	3511
64000	7	3539
64000	8	3527
64000	9	3499
68000	0	3667
68000	1	3626
68000	2	3611
68000	3	3615
68000	4	3631
68000	5	3645
68000	6	3632
68000	7	3642
68000	8	3676
68000	9	3610
72000	0	3678
72000	1	3766
72000	2	3741
72000	3	3769
72000	4	3746
72000	5	3722
72000	6	3713
72000	7	3758
72000	8	3767
72000	9	3732
76000	0	3893
76000	1	3822
76000	2	3792
76000	3	3832
76000	4	3808
76000	5	3877
76000	6	3804
76000	7	3825
76000	8	3803
76000	9	3804
80000	0	3928
80000	1	3983
80000	2	3866
80000	3	4001
80000	4	3896
80000	5	3999
80000	6	3938
80000	7	3949
80000	8	3882
80000	9	3901
84000	0	4030
84000	1	4034
84000	2	4064
84000	3	4005
84000	4	3977
84000	5	4029
84000	6	3997
84000	7	4029
84000	8	4060
84000	9	4049
88000	0	4060
88000	1	4189
88000	2	4132
88000	3	4126
88000	4	4069
88000	5	4104
88000	6	4089
88000	7	4082
88000	8	4056
88000	9	4069
92000	0	4136
92000	1	4191
92000	2	4158
92000	3	4169
92000	4	4215
92000	5	4238
92000	6	4159
92000	7	4154
92000	8	4204
92000	9	4182
96000	0	4228
96000	1	4283
96000	2	4281
96000	3	4274
96000	4	4253
96000	5	4313
96000	6	4328
96000	7	4249
96000	8	4321
96000	9	4269
100000	0	4356
100000	1	4407
100000	2	4325
100000	3	4365
100000	4	4315
100000	5	4316
100000	6	4423
100000	7	4375
100000	8	4379
100000	9	4346
104000	0	4461
104000	1	4425
104000	2	4401
104000	3	4406
104000	4	4427
104000	5	4424
104000	6	4362
104000	7	4445
104000	8	4374
104000	9	4413
108000	0	4524
108000	1	4482
108000	2	4491
108000	3	4532
108000	4	4458
108000	5	4503
108000	6	4501
108000	7	4517
108000	8	4585
108000	9	4531
112000	0	4537
112000	1	4567
112000	2	4530
112000	3	4490
112000	4	4553
112000	5	4531
112000	6	4595
112000	7	4601
112000	8	4576
112000	9	4579
116000	0	4639
116000	1	4644
116000	2	4719
116000	3	4649
116000	4	4646
116000	5	4651
116000	6	4683
116000	7	4675
116000	8	4637
116000	9	4676
120000	0	4716
120000	1	4741
120000	2	4654
120000	3	4685
120000	4	4707
120000	5	4685
120000	6	4754
120000	7	4724
120000	8	4749
120000	9	4762
124000	0	4793
124000	1	4787
124000	2	4797
124000	3	4701
124000	4	4782
124000	5	4768
124000	6	4755
124000	7	4755
124000	8	4696
124000	9	4810
128000	0	4826
128000	1	4833
128000	2	4901
128000	3	4861
128000	4	4880
128000	5	4863
128000	6	4831
128000	7	4882
128000	8	4866
128000	9	4855
132000	0	4917
132000	1	4906
132000	2	4971
132000	3	4916
132000	4	5006
132000	5	4946
132000	6	4907
132000	7	4894
132000	8	4975
132000	9	4949
136000	0	5023
136000	1	4924
136000	2	4984
136000	3	5039
136000	4	4981
136000	5	4941
136000	6	4965
136000	7	4979
136000	8	4953
136000	9	5002
140000	0	5078
140000	1	5000
140000	2	5065
140000	3	4992
140000	4	5044
140000	5	5045
140000	6	5087
140000	7	5047
140000	8	5023
140000	9	5040
144000	0	5062
144000	1	5120
144000	2	5078
144000	3	5110
144000	4	5158
144000	5	5145
144000	6	5149
144000	7	5122
144000	8	5088
144000	9	5115
148000	0	5137
148000	1	5114
148000	2	5233
148000	3	5185
148000	4	5168
148000	5	5188
148000	6	5159
148000	7	5227
148000	8	5187
148000	9	5158
152000	0	5137
152000	1	5255
152000	2	5222
152000	3	5208
152000	4	5262
152000	5	5225
152000	6	5246
152000	7	5199
152000	8	5248
152000	9	5260
156000	0	5318
156000	1	5319
156000	2	5272
156000	3	5328
156000	4	5239
156000	5	5297
156000	6	5260
156000	7	5308
156000	8	5306
156000	9	5290
160000	0	5414
160000	1	5352
160000	2	5384
160000	3	5373
160000	4	5354
160000	5	5391
160000	6	5361
160000	7	5341
160000	8	5366
160000	9	5316
164000	0	5425
164000	1	5457
164000	2	5428
164000	3	5371
164000	4	5439
164000	5	5408
164000	6	5434
164000	7	5312
164000	8	5389
164000	9	5424
168000	0	5479
168000	1	5467
168000	2	5410
168000	3	5467
168000	4	5489
168000	5	5564
168000	6	5469
168000	7	5427
168000	8	5455
168000	9	5432
172000	0	5551
172000	1	5559
172000	2	5514
172000	3	5489
172000	4	5522
172000	5	5540
172000	6	5504
172000	7	5508
172000	8	5536
172000	9	5528
176000	0	5591
176000	1	5608
176000	2	5605
176000	3	5597
176000	4	5581
176000	5	5539
176000	6	5569
176000	7	5560
176000	8	5602
176000	9	5624
180000	0	5608
180000	1	5611
180000	2	5636
180000	3	5682
180000	4	5586
180000	5	5569
180000	6	5673
180000	7	5545
180000	8	5606
180000	9	5605
184000	0	5657
184000	1	5701
184000	2	5678
184000	3	5675
184000	4	5649
184000	5	5680
184000	6	5662
184000	7	5713
184000	8	5637
