sample_size	sample_times	vcs
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
4000	0	2838
4000	1	2783
4000	2	2698
4000	3	2763
4000	4	2781
4000	5	2749
4000	6	2817
4000	7	2780
4000	8	2830
4000	9	2772
8000	0	4980
8000	1	4975
8000	2	4942
8000	3	4922
8000	4	5013
8000	5	4917
8000	6	4919
8000	7	4940
8000	8	4968
8000	9	4986
12000	0	6985
12000	1	6939
12000	2	6951
12000	3	6874
12000	4	6974
12000	5	6904
12000	6	6938
12000	7	6914
12000	8	6993
12000	9	6918
16000	0	8923
16000	1	8748
16000	2	8729
16000	3	8804
16000	4	8793
16000	5	8694
16000	6	8810
16000	7	8684
16000	8	8707
16000	9	8732
20000	0	10465
20000	1	10438
20000	2	10453
20000	3	10490
20000	4	10588
20000	5	10314
20000	6	10583
20000	7	10548
20000	8	10497
20000	9	10505
24000	0	12114
24000	1	12219
24000	2	12118
24000	3	12089
24000	4	12166
24000	5	12221
24000	6	12113
24000	7	12171
24000	8	12155
24000	9	12133
28000	0	13763
28000	1	13592
28000	2	13768
28000	3	13862
28000	4	13768
28000	5	13684
28000	6	13764
28000	7	13709
28000	8	13663
28000	9	13690
32000	0	15254
32000	1	15260
32000	2	15303
32000	3	15125
32000	4	15333
32000	5	15237
32000	6	15218
32000	7	15222
32000	8	15362
32000	9	15291
36000	0	16698
36000	1	16809
36000	2	16588
36000	3	16442
36000	4	16617
36000	5	16784
36000	6	16534
36000	7	16776
36000	8	16768
36000	9	16674
40000	0	18272
40000	1	18175
40000	2	18215
40000	3	18260
40000	4	18068
40000	5	18132
40000	6	18153
40000	7	18153
40000	8	18306
40000	9	18156
44000	0	19584
44000	1	19488
44000	2	19451
44000	3	19633
44000	4	19414
44000	5	19565
44000	6	19440
44000	7	19627
44000	8	19459
44000	9	19532
48000	0	20833
48000	1	20744
48000	2	20888
48000	3	20942
48000	4	21040
48000	5	20910
48000	6	20807
48000	7	20962
48000	8	21026
48000	9	20833
52000	0	22179
52000	1	22069
52000	2	22212
52000	3	22237
52000	4	22160
52000	5	22264
52000	6	22166
52000	7	22261
52000	8	22195
52000	9	22196
56000	0	23543
56000	1	23566
56000	2	23502
56000	3	23447
56000	4	23597
56000	5	23417
56000	6	23429
56000	7	23479
56000	8	23450
56000	9	23480
60000	0	25049
60000	1	24823
60000	2	24786
60000	3	24850
60000	4	24726
60000	5	24681
60000	6	24731
60000	7	24858
60000	8	24667
60000	9	24673
64000	0	25970
64000	1	26256
64000	2	26108
64000	3	26076
64000	4	26092
64000	5	26012
64000	6	26029
64000	7	26107
64000	8	26007
64000	9	26066
68000	0	27477
68000	1	27330
68000	2	27144
68000	3	27320
68000	4	27274
68000	5	27236
68000	6	27416
68000	7	27174
68000	8	27095
68000	9	27255
72000	0	28629
72000	1	28560
72000	2	28719
72000	3	28525
72000	4	28521
72000	5	28651
72000	6	28583
72000	7	28548
72000	8	28466
72000	9	28402
76000	0	29559
76000	1	29557
76000	2	29579
76000	3	29544
76000	4	29809
76000	5	29765
76000	6	29709
76000	7	29569
76000	8	29673
76000	9	29785
80000	0	30754
80000	1	30782
80000	2	30875
80000	3	30638
80000	4	30799
80000	5	30966
80000	6	30769
80000	7	30727
80000	8	30838
80000	9	30794
84000	0	31881
84000	1	32011
84000	2	32075
84000	3	31983
84000	4	31931
84000	5	31817
84000	6	32135
84000	7	31939
84000	8	31834
84000	9	32005
88000	0	33262
88000	1	33177
88000	2	33026
88000	3	33304
88000	4	33093
88000	5	33151
88000	6	33139
88000	7	33303
88000	8	33289
88000	9	33088
92000	0	34115
92000	1	34128
92000	2	34056
92000	3	34060
92000	4	34271
92000	5	34083
92000	6	34466
92000	7	34660
92000	8	34296
92000	9	34466
96000	0	35276
96000	1	35380
96000	2	35274
96000	3	35244
96000	4	35059
96000	5	35305
96000	6	35396
96000	7	35296
96000	8	35381
96000	9	35325
100000	0	36435
100000	1	36387
100000	2	36383
100000	3	36444
100000	4	36505
100000	5	36433
100000	6	36467
100000	7	36574
100000	8	36297
100000	9	36318
104000	0	37360
104000	1	37347
104000	2	37569
104000	3	37475
104000	4	37451
104000	5	37497
104000	6	37210
104000	7	37557
104000	8	37444
104000	9	37469
108000	0	38546
108000	1	38627
108000	2	38770
108000	3	38650
108000	4	38522
108000	5	38480
108000	6	38290
108000	7	38371
108000	8	38574
108000	9	38601
112000	0	39564
112000	1	39547
112000	2	39755
112000	3	39451
112000	4	39628
112000	5	39589
112000	6	39443
112000	7	39755
112000	8	39612
112000	9	39597
116000	0	40751
116000	1	40562
116000	2	40763
116000	3	40550
116000	4	40686
116000	5	40751
116000	6	40502
116000	7	40550
116000	8	40557
116000	9	40515
120000	0	41608
120000	1	41665
120000	2	41850
120000	3	41662
120000	4	41699
120000	5	41895
120000	6	41796
120000	7	41529
120000	8	41614
120000	9	41626
124000	0	42601
124000	1	42696
124000	2	42688
124000	3	42611
124000	4	42601
124000	5	42720
124000	6	42820
124000	7	42487
124000	8	42681
124000	9	42700
128000	0	43543
128000	1	43609
128000	2	43800
128000	3	43675
128000	4	43690
128000	5	43752
128000	6	43670
128000	7	43523
128000	8	43738
128000	9	43710
132000	0	44665
132000	1	44671
132000	2	44733
132000	3	44595
132000	4	44859
132000	5	44713
132000	6	44659
132000	7	44664
132000	8	44732
132000	9	44675
136000	0	45593
136000	1	45974
136000	2	45558
136000	3	45563
136000	4	45767
136000	5	45821
136000	6	45535
136000	7	45720
136000	8	45720
136000	9	45843
140000	0	46435
140000	1	46593
140000	2	46663
140000	3	46760
140000	4	46770
140000	5	46673
140000	6	46783
140000	7	46606
140000	8	46668
140000	9	46382
144000	0	47755
144000	1	47720
144000	2	47716
144000	3	47270
144000	4	47850
144000	5	47612
144000	6	47536
144000	7	47396
144000	8	47572
144000	9	47622
148000	0	48810
148000	1	48697
148000	2	48877
148000	3	48674
148000	4	48350
148000	5	48514
148000	6	48588
148000	7	48552
148000	8	48446
148000	9	48522
152000	0	49389
152000	1	49668
152000	2	49362
152000	3	49548
152000	4	49637
152000	5	49579
152000	6	49395
152000	7	49815
152000	8	49687
152000	9	49460
156000	0	50295
156000	1	50341
156000	2	50436
156000	3	50485
156000	4	50524
156000	5	50431
156000	6	50487
156000	7	50311
156000	8	50364
156000	9	50229
160000	0	51410
160000	1	51530
160000	2	51460
160000	3	51514
160000	4	51358
160000	5	51286
160000	6	51500
160000	7	51508
160000	8	51459
160000	9	51487
164000	0	52273
164000	1	52298
164000	2	52480
164000	3	52201
164000	4	52455
164000	5	52314
164000	6	52162
164000	7	52365
164000	8	52205
164000	9	52080
168000	0	53103
168000	1	53405
168000	2	53220
168000	3	53334
168000	4	53125
168000	5	53160
168000	6	53085
168000	7	53020
168000	8	53025
168000	9	53081
172000	0	54087
172000	1	54139
172000	2	54047
172000	3	54016
172000	4	54119
172000	5	54028
172000	6	54052
172000	7	54131
172000	8	54154
172000	9	54239
176000	0	55101
176000	1	55093
176000	2	55113
176000	3	55094
176000	4	55156
176000	5	54992
176000	6	55183
176000	7	55334
176000	8	54887
176000	9	55063
180000	0	55885
180000	1	55845
180000	2	55825
180000	3	56056
180000	4	55700
180000	5	55835
180000	6	55898
180000	7	56073
180000	8	55897
180000	9	55833
184000	0	56832
184000	1	56844
184000	2	56874
184000	3	56578
184000	4	56757
184000	5	56582
184000	6	56880
184000	7	56844
