name	att_length	genome_length	score
BDP_248418	120	253296	99
BDP_96694	12	237105	70
BDP_325157	107	235632	93
BDP_301479	22	234699	100
BDP_155280	35	230911	100
BDP_98813	13	223707	99
BDP_319931	21	222773	92
BDP_260125	28	211663	99
BDP_232169	5	208688	100
BDP_140886	75	207689	99
BDP_188482	18	198830	100
BDP_258025	5	197551	100
BDP_295852	16	194728	98
BDP_30938	5	194295	100
BDP_72148	121	192642	68
BDP_161664	496	192470	100
BDP_323513	13	192124	47.71910112359551
BDP_327615	26	189057	100
BDP_328560	656	185188	100
BDP_301585	23	185061	100
BDP_26737	49	184543	100
BDP_269165	19	183779	100
BDP_389618	10	181631	100
BDP_334064	14	181438	57
BDP_384406	5	178800	100
BDP_405713	8	177328	99
BDP_123155	78	176746	100
BDP_361001	47	176655	100
BDP_89276	30	175726	42.33333333333334
BDP_282372	47	175622	100
BDP_117601	10	174052	98
BDP_376429	83	173794	100
BDP_80839	46	173678	99
BDP_283013	17	173051	85
BDP_113823	8	172110	100
BDP_230256	21	172076	100
BDP_51006	9	171049	100
BDP_354229	25	170411	44.90090090090091
BDP_278334	6	169410	100
BDP_158877	29	168543	100
BDP_187614	45	168384	100
BDP_235006	5	168053	99
BDP_338601	8	167925	100
BDP_143425	14	167839	70.01
BDP_166617	83	167793	100
BDP_59905	96	167792	100
BDP_427886	108	167279	100
BDP_364237	17	167079	99
BDP_87456	13	167020	100
BDP_223749	73	165913	83
BDP_390091	77	165184	98
BDP_278456	26	165127	100
BDP_286261	7	165076	99
BDP_319805	5	164962	100
BDP_288118	58	164095	100
BDP_105141	43	163874	100
BDP_359915	8	163795	100
BDP_255590	24	162000	100
BDP_355593	59	161385	97
BDP_257316	16	160892	100
BDP_298013	25	160833	50.363636363636374
BDP_49857	55	159636	88
BDP_329849	25	159347	99
BDP_268784	15	159083	99
BDP_212786	25	158956	72
BDP_237225	6	158938	100
BDP_327643	35	158929	99
BDP_62403	14	158286	100
BDP_206259	46	157297	95
BDP_167401	17	156432	63.010000000000005
BDP_63606	14	156205	100
BDP_98822	23	156132	99
BDP_265283	349	155745	100
BDP_24963	43	155576	99
BDP_306581	23	155406	100
BDP_2329	17	154094	35.323529411764696
BDP_339134	6	153848	100
BDP_366569	14	153777	100
BDP_277729	23	153748	100
BDP_14602	132	152298	58.010000000000005
BDP_371400	64	151766	100
BDP_370287	24	151284	29.030927835051543
BDP_340816	23	151225	100
BDP_424788	23	151009	67
BDP_304287	40	150845	100
BDP_404015	42	150788	97
BDP_92334	17	149806	42
BDP_24329	21	149725	97
BDP_214150	30	149699	100
BDP_64440	12	149211	97
BDP_224954	165	149119	100
BDP_260019	15	149061	71.00990099009901
BDP_302745	77	148919	95
BDP_331706	46	148817	100
BDP_407375	43	147056	70.00990099009901
BDP_81858	81	146931	100
BDP_213634	24	146223	85
BDP_356671	17	145708	95
BDP_49554	18	145175	77.03999999999999
BDP_8390	54	145152	84.00990099009901
BDP_335702	14	144934	97
BDP_296961	78	143815	100
BDP_203085	20	143630	82
BDP_34852	12	143496	99
BDP_227105	17	142215	97
BDP_381224	52	141365	100
BDP_82948	23	141058	86
BDP_132011	21	139483	100
BDP_306444	39	139443	100
BDP_367983	49	139062	100
BDP_184966	819	138868	71
BDP_141684	12	138754	57
BDP_313512	39	138074	100
BDP_72147	121	138068	68
BDP_188592	32	138037	99
BDP_15031	19	137934	100
BDP_190347	27	137934	97
BDP_244784	29	137910	100
BDP_287303	17	137544	100
BDP_72918	46	137501	33.61
BDP_380264	306	137415	100
BDP_250612	50	136944	79
BDP_91582	230	136854	86.25
BDP_228104	9	136829	100
BDP_106640	33	136599	100
BDP_404538	12	136335	38.810126582278485
BDP_39166	62	136197	96
BDP_257872	35	136153	56.09009009009009
BDP_183109	26	136047	99
BDP_398157	59	134956	98
BDP_142192	20	134908	98
BDP_316357	8	134656	100
BDP_287493	124	134608	100
BDP_381021	14	134338	97
BDP_279727	20	134198	100
BDP_390448	13	133807	100
BDP_231300	21	133731	59.24509803921568
BDP_331599	10	133706	100
BDP_205681	10	133380	100
BDP_20012	47	133292	91
BDP_824	46	132923	99
BDP_349954	11	132733	99
BDP_186424	63	132092	99
BDP_118107	14	132044	26.125
BDP_246861	123	131810	100
BDP_139845	16	131242	100
BDP_382576	25	131235	99
BDP_230234	20	131233	99
BDP_185900	17	131065	100
BDP_40780	72	131053	82.09
BDP_324372	8	131043	100
BDP_205960	29	130926	100
BDP_369079	40	130845	97
BDP_146433	16	130600	100
BDP_388443	118	130479	95
BDP_299703	16	130454	100
BDP_2222	28	130206	100
BDP_374179	37	130135	94.01030927835052
BDP_318190	15	129972	100
BDP_371084	19	129693	55.339622641509436
BDP_169803	13	129683	90
BDP_388163	66	129549	99
BDP_358069	10	129408	100
BDP_415054	216	129100	100
BDP_81046	48	129096	99
BDP_253399	14	128812	100
BDP_6344	15	128789	100
BDP_240616	16	128758	100
BDP_110502	20	128607	99
BDP_340450	23	128578	100
BDP_122968	16	128234	97
BDP_350810	13	128085	100
BDP_322632	14	127922	100
BDP_192977	8	127919	100
BDP_41511	51	127672	100
BDP_40184	27	127382	100
BDP_40379	5	127186	100
BDP_108310	16	127062	99
BDP_141123	28	127051	81.03999999999999
BDP_319520	18	126965	96.01
BDP_150406	15	126909	100
BDP_202081	623	126831	100
BDP_372237	14	126767	100
BDP_250092	12	126709	82.16
BDP_183273	49	126548	98
BDP_337941	8	126200	100
BDP_313224	82	125936	100
BDP_264600	27	125894	100
BDP_11676	185	125855	88.00990099009901
BDP_111259	47	125804	100
BDP_65948	43	125480	100
BDP_193473	8	125272	100
BDP_186066	16	125179	30.61
BDP_267239	52	125125	100
BDP_382127	13	124776	100
BDP_273125	81	124539	100
BDP_275691	177	124470	98
BDP_203379	121	124416	100
BDP_227525	158	123996	56.04166666666666
BDP_152142	17	123889	22.923913043478265
BDP_170646	32	123853	99
BDP_2255	47	123821	100
BDP_28818	126	123676	95.00990099009901
BDP_161509	127	123430	100
BDP_274016	17	123424	86.01
BDP_171688	28	123157	100
BDP_355698	121	123147	100
BDP_106560	13	123133	100
BDP_228644	13	122950	100
BDP_172666	123	122759	100
BDP_2226	8	122488	98
BDP_68452	13	122443	100
BDP_113405	47	122417	47.01010101010101
BDP_366659	19	122397	45.054794520547944
BDP_1810	103	122152	93
BDP_346637	52	122066	91
