cluster	type	genome_size	name
genus_1	BDP	72694	BDP_57510
genus_1	BUP	82473	BUP_353233
genus_1	BDP	74795	BDP_60422
genus_1	BDP	80738	BDP_51313
genus_1	BDP	81901	BDP_264973
genus_1	BDP	75307	BDP_182796
genus_1	BDP	76858	BDP_276404
genus_1	BDP	72729	BDP_53110
genus_1	BDP	72545	BDP_248443
genus_1	BDP	77134	BDP_164918
genus_1	BDP	74085	BDP_354355
genus_1	BDP	76773	BDP_134135
genus_1	BUP	61557	BUP_219378
genus_1	BDP	75111	BDP_114859
genus_1	BUP	53563	BUP_182035
genus_1	BUP	9004	BUP_247982
genus_1	BUP	7848	BUP_195953
genus_1	BUP	25985	BUP_126777
genus_1	BUP	22512	BUP_250137
genus_1	BUP	22208	BUP_326824
genus_1	BUP	8369	BUP_87426
genus_1	BUP	26940	BUP_126892
genus_1	BUP	14881	BUP_129134
genus_1	BUP	7955	BUP_135654
genus_1	BUP	10302	BUP_148743
genus_1	BUP	19238	BUP_234637
genus_1	BUP	13467	BUP_43932
genus_1	BDP	17395	BDP_113460
genus_1	BUP	11068	BUP_159989
genus_1	BUP	16203	BUP_119553
genus_1	BUP	21119	BUP_279462
genus_1	BDP	16617	BDP_201175
genus_1	BUP	11188	BUP_281763
genus_1	BUP	24831	BUP_291765
genus_1	BUP	31163	BUP_271250
genus_1	BUP	11018	BUP_294714
genus_1	BUP	24329	BUP_362732
genus_1	BUP	18314	BUP_113131
genus_1	BDP	22190	BDP_283007
genus_1	BDP	25413	BDP_93010
genus_1	BUP	11207	BUP_344616
genus_1	BUP	7371	BUP_32082
genus_1	BDP	25238	BDP_122043
genus_1	BUP	20671	BUP_312877
genus_1	BUP	12136	BUP_181769
genus_1	BUP	7882	BUP_67227
genus_1	BUP	25126	BUP_233051
genus_1	BDP	9143	BDP_176862
genus_1	BUP	15066	BUP_160195
genus_1	BUP	9937	BUP_185309
genus_1	BDP	9420	BDP_228242
genus_1	BDP	30963	BDP_94811
genus_1	BUP	21936	BUP_268704
genus_1	BUP	24935	BUP_63613
genus_1	BUP	22081	BUP_127019
genus_1	BUP	10560	BUP_37894
genus_1	BUP	12318	BUP_66402
genus_1	BUP	11250	BUP_351123
genus_1	BDP	21090	BDP_355052
genus_1	BUP	26084	BUP_321867
genus_1	BDP	21470	BDP_421626
genus_1	BDP	30775	BDP_27793
genus_1	BUP	26503	BUP_205428
genus_1	BDP	26754	BDP_2253
genus_1	BUP	32411	BUP_218177
genus_1	BUP	8610	BUP_184805
genus_1	BUP	10481	BUP_244571
genus_1	BDP	19434	BDP_315563
genus_1	BDP	28160	BDP_279996
genus_1	BUP	11799	BUP_316730
genus_1	BUP	15229	BUP_67566
genus_1	BUP	15265	BUP_149662
genus_1	BUP	12181	BUP_49337
genus_1	BUP	12710	BUP_237515
genus_1	BUP	22259	BUP_261152
genus_1	BDP	12939	BDP_126485
genus_1	BUP	20873	BUP_44598
genus_1	BUP	13471	BUP_72569
genus_1	BDP	23679	BDP_167934
genus_1	BDP	18620	BDP_378224
genus_1	BUP	10516	BUP_87921
genus_1	BUP	9062	BUP_139300
genus_1	BUP	7215	BUP_263011
genus_1	BDP	20484	BDP_84129
genus_1	BUP	14083	BUP_18963
genus_1	BUP	21566	BUP_37124
genus_1	BUP	12940	BUP_25079
genus_1	BUP	24098	BUP_22088
genus_1	BDP	18746	BDP_118516
genus_1	BDP	20053	BDP_161757
genus_1	BUP	19222	BUP_246454
genus_1	BUP	17914	BUP_343361
genus_1	BDP	13306	BDP_104629
genus_1	BUP	10044	BUP_340115
genus_1	BDP	14778	BDP_392273
genus_1	BUP	13646	BUP_32546
genus_1	BUP	17026	BUP_23236
genus_1	BUP	21400	BUP_213892
genus_1	BUP	15823	BUP_8556
genus_1	BUP	8871	BUP_121142
genus_1	BUP	7932	BUP_181614
genus_1	BUP	7632	BUP_8571
genus_1	BUP	7672	BUP_125713
genus_1	BDP	19478	BDP_173524
genus_1	BUP	6379	BUP_320541
genus_1	BUP	20185	BUP_211905
genus_1	BUP	9189	BUP_281850
genus_1	BDP	26645	BDP_305888
genus_1	BUP	10927	BUP_224341
genus_1	BUP	7837	BUP_279173
genus_1	BUP	13572	BUP_181584
genus_1	BUP	14374	BUP_209146
genus_1	BUP	7105	BUP_353578
genus_1	BUP	20862	BUP_62632
genus_1	BUP	24788	BUP_234394
genus_1	BUP	24512	BUP_6921
genus_1	BUP	7485	BUP_71475
genus_1	BUP	22143	BUP_93999
genus_1	BUP	20238	BUP_64234
genus_1	BUP	26323	BUP_251315
genus_1	BUP	24751	BUP_214466
genus_1	BUP	13384	BUP_210
genus_1	BDP	24876	BDP_383846
genus_1	BDP	12834	BDP_188757
genus_1	BUP	18838	BUP_179377
genus_1	BDP	18392	BDP_163434
genus_1	BUP	8320	BUP_42424
genus_1	BUP	7293	BUP_94082
genus_1	BUP	23458	BUP_94184
genus_1	BUP	8218	BUP_111285
genus_1	BUP	23119	BUP_37465
genus_1	BUP	7543	BUP_108356
genus_1	BDP	19750	BDP_282715
genus_1	BUP	27502	BUP_249688
genus_1	BUP	6993	BUP_118818
genus_1	BUP	17955	BUP_319850
genus_1	BDP	20321	BDP_140325
genus_1	BUP	19555	BUP_90932
genus_1	BUP	7708	BUP_158477
genus_1	BDP	13886	BDP_85973
genus_1	BUP	7859	BUP_168372
genus_1	BUP	23030	BUP_274961
genus_1	BUP	16995	BUP_221115
genus_1	BUP	13751	BUP_354865
genus_1	BUP	18065	BUP_29014
genus_1	BUP	25054	BUP_350372
genus_1	BDP	10756	BDP_159243
genus_1	BUP	13947	BUP_189594
genus_1	BDP	24173	BDP_164796
genus_1	BUP	11530	BUP_47464
genus_1	BUP	22765	BUP_31812
genus_1	BUP	10817	BUP_11248
genus_1	BUP	14938	BUP_239724
genus_1	BUP	14118	BUP_187735
genus_1	BUP	23892	BUP_30193
genus_1	BUP	17155	BUP_39378
genus_1	BUP	8878	BUP_47620
genus_1	BUP	22624	BUP_63871
genus_1	BUP	7499	BUP_315157
genus_1	BUP	13685	BUP_49588
genus_1	BUP	21056	BUP_144552
genus_1	BUP	15054	BUP_92520
genus_1	BUP	10006	BUP_352369
genus_1	BUP	13371	BUP_15881
genus_1	BUP	11813	BUP_104159
genus_1	BDP	21799	BDP_6191
genus_1	BDP	22267	BDP_69310
genus_1	BUP	11047	BUP_121210
genus_1	BUP	17722	BUP_68616
genus_1	BUP	10520	BUP_204681
genus_1	BUP	9563	BUP_61420
genus_1	BUP	8698	BUP_292563
genus_1	BUP	8379	BUP_9668
genus_1	BUP	21693	BUP_270861
genus_1	BUP	12232	BUP_89822
genus_1	BUP	7491	BUP_159901
genus_1	BUP	22082	BUP_241970
genus_1	BUP	13883	BUP_8929
genus_1	BUP	9830	BUP_297463
genus_1	BUP	8062	BUP_343927
genus_1	BUP	7977	BUP_277847
genus_1	BUP	12730	BUP_231679
genus_1	BUP	17225	BUP_316905
genus_1	BUP	22898	BUP_22535
genus_1	BUP	9966	BUP_341296
