cluster	type	genome_size	name
family_1	BUP	20560	BUP_282380
family_1	BUP	24145	BUP_5138
family_1	BDP	14374	BDP_427292
family_1	BUP	63930	BUP_52557
family_1	BDP	68356	BDP_428430
family_1	BDP	52117	BDP_364098
family_1	BDP	68338	BDP_76699
family_1	BUP	53285	BUP_309281
family_1	BUP	13444	BUP_49302
family_1	BUP	26561	BUP_226088
family_1	BDP	72694	BDP_57510
family_1	BUP	82473	BUP_353233
family_1	BDP	74795	BDP_60422
family_1	BDP	40842	BDP_366439
family_1	BDP	10096	BDP_49104
family_1	BDP	19178	BDP_68176
family_1	BDP	22905	BDP_76261
family_1	BUP	11047	BUP_121210
family_1	BUP	35048	BUP_312765
family_1	BDP	18844	BDP_175365
family_1	BDP	9250	BDP_323601
family_1	BUP	24519	BUP_259598
family_1	BUP	20906	BUP_294274
family_1	BDP	19434	BDP_315563
family_1	BDP	20469	BDP_307975
family_1	BDP	19686	BDP_186636
family_1	BDP	36557	BDP_281426
family_1	BUP	24976	BUP_232190
family_1	BUP	28535	BUP_149183
family_1	BDP	74491	BDP_187406
family_1	BDP	78122	BDP_224640
family_1	BDP	92103	BDP_317118
family_1	BDP	79026	BDP_428672
family_1	BUP	83048	BUP_31944
family_1	BUP	114796	BUP_726
family_1	BDP	81106	BDP_199407
family_1	BDP	73876	BDP_333162
family_1	BUP	58297	BUP_344578
family_1	BUP	69054	BUP_96830
family_1	BDP	74094	BDP_60100
family_1	BDP	75653	BDP_40762
family_1	BDP	72791	BDP_45556
family_1	BDP	81002	BDP_79520
family_1	BDP	77426	BDP_95974
family_1	BDP	80843	BDP_128679
family_1	BUP	111726	BUP_147125
family_1	BUP	81299	BUP_13365
family_1	BDP	71972	BDP_331712
family_1	BDP	76899	BDP_325120
family_1	BDP	72028	BDP_79361
family_1	BDP	78460	BDP_287827
family_1	BUP	56065	BUP_116341
family_1	BDP	76218	BDP_234004
family_1	BDP	65355	BDP_80943
family_1	BUP	109781	BUP_325202
family_1	BDP	70403	BDP_429003
family_1	BDP	74422	BDP_412066
family_1	BDP	80738	BDP_51313
family_1	BDP	81901	BDP_264973
family_1	BDP	75307	BDP_182796
family_1	BDP	76858	BDP_276404
family_1	BDP	131810	BDP_246861
family_1	BDP	72729	BDP_53110
family_1	BDP	72545	BDP_248443
family_1	BDP	77134	BDP_164918
family_1	BDP	74085	BDP_354355
family_1	BDP	76773	BDP_134135
family_1	BUP	61557	BUP_219378
family_1	BDP	75111	BDP_114859
family_1	BUP	53563	BUP_182035
family_1	BUP	30624	BUP_225908
family_1	BDP	35833	BDP_203809
family_1	BDP	40144	BDP_225096
family_1	BUP	9004	BUP_247982
family_1	BDP	35347	BDP_216239
family_1	BDP	33334	BDP_185005
family_1	BDP	32490	BDP_321122
family_1	BUP	45779	BUP_11534
family_1	BDP	38720	BDP_333989
family_1	BUP	7848	BUP_195953
family_1	BDP	35611	BDP_283173
family_1	BDP	34193	BDP_158192
family_1	BDP	33927	BDP_232686
family_1	BDP	36442	BDP_24031
family_1	BDP	33963	BDP_306094
family_1	BDP	34643	BDP_236707
family_1	BDP	35681	BDP_112943
family_1	BDP	34920	BDP_17985
family_1	BDP	30167	BDP_256763
family_1	BDP	31822	BDP_45340
family_1	BDP	32661	BDP_238364
family_1	BDP	33431	BDP_154519
family_1	BUP	30450	BUP_324043
family_1	BDP	35115	BDP_179405
family_1	BDP	30554	BDP_347835
family_1	BDP	30988	BDP_247996
family_1	BUP	28995	BUP_310826
family_1	BDP	33745	BDP_132655
family_1	BUP	26775	BUP_91374
family_1	BDP	30827	BDP_318284
family_1	BDP	32536	BDP_303140
family_1	BDP	30014	BDP_64507
family_1	BDP	33258	BDP_407135
family_1	BDP	34548	BDP_37045
family_1	BDP	33701	BDP_21184
family_1	BDP	33608	BDP_196950
family_1	BDP	31786	BDP_215611
family_1	BDP	32289	BDP_56833
